mass (g) Set,Date and Time Run #1,Time (s) Run #1,State Run #1,Block Event Times (s) Run #1,Period (s) Run #1,Block-to-Block Times (s) Run #1,Speed (m/s) Run #1,Time in Gate (s) Run #1,Date and Time Run #2,Time (s) Run #2,State Run #2,Block Event Times (s) Run #2,Period (s) Run #2,Block-to-Block Times (s) Run #2,Speed (m/s) Run #2,Time in Gate (s) Run #2,Date and Time Run #3,Time (s) Run #3,State Run #3,Block Event Times (s) Run #3,Period (s) Run #3,Block-to-Block Times (s) Run #3,Speed (m/s) Run #3,Time in Gate (s) Run #3,Date and Time Run #4,Time (s) Run #4,State Run #4,Block Event Times (s) Run #4,Period (s) Run #4,Block-to-Block Times (s) Run #4,Speed (m/s) Run #4,Time in Gate (s) Run #4
200,09/23/2020 01:58:32 pm,1.450,0.00,,,,,,09/23/2020 02:03:35 pm,1.668,0.00,,,,,,09/23/2020 02:07:40 pm,0.061,0.00,,,,,,09/23/2020 02:09:22 pm,0.038,1.00,0.04,,,,
200,09/23/2020 01:58:33 pm,2.342,1.00,2.34,,,,,09/23/2020 02:03:36 pm,2.561,1.00,2.56,,,,,09/23/2020 02:07:40 pm,0.266,1.00,0.27,,,,,09/23/2020 02:09:22 pm,0.612,0.00,,,,0.03,0.57
200,09/23/2020 01:58:33 pm,2.448,0.00,,,,0.15,0.11,09/23/2020 02:03:36 pm,2.617,0.00,,,,0.28,0.06,09/23/2020 02:07:40 pm,0.902,0.00,,,,0.03,0.64,09/23/2020 02:09:23 pm,1.372,1.00,1.37,,1.33,,
200,09/23/2020 01:58:34 pm,3.264,1.00,3.26,,0.92,,,09/23/2020 02:03:37 pm,3.496,1.00,3.50,,0.94,,,09/23/2020 02:07:41 pm,1.646,1.00,1.65,,1.38,,,09/23/2020 02:09:23 pm,1.915,0.00,,,,0.03,0.54
200,09/23/2020 01:58:34 pm,3.370,0.00,,,,0.15,0.11,09/23/2020 02:03:37 pm,3.552,0.00,,,,0.29,0.06,09/23/2020 02:07:41 pm,1.667,0.00,,,,0.74,0.02,09/23/2020 02:09:24 pm,2.039,1.00,2.04,2.00,0.67,,
200,09/23/2020 01:58:35 pm,4.169,1.00,4.17,1.83,0.91,,,09/23/2020 02:03:38 pm,4.382,1.00,4.38,1.82,0.89,,,09/23/2020 02:07:42 pm,2.289,1.00,2.29,2.02,0.64,,,09/23/2020 02:09:24 pm,2.700,0.00,,,,0.02,0.66
200,09/23/2020 01:58:35 pm,4.274,0.00,,,,0.15,0.10,09/23/2020 02:03:38 pm,4.439,0.00,,,,0.28,0.06,09/23/2020 02:07:42 pm,2.310,0.00,,,,0.77,0.02,09/23/2020 02:09:25 pm,3.424,1.00,3.42,,1.39,,
200,09/23/2020 01:58:36 pm,5.088,1.00,5.09,,0.92,,,09/23/2020 02:03:39 pm,5.318,1.00,5.32,,0.94,,,09/23/2020 02:07:42 pm,2.928,1.00,2.93,,0.64,,,09/23/2020 02:09:25 pm,3.528,0.00,,,,0.15,0.10
200,09/23/2020 01:58:36 pm,5.192,0.00,,,,0.15,0.10,09/23/2020 02:03:39 pm,5.376,0.00,,,,0.28,0.06,09/23/2020 02:07:42 pm,2.949,0.00,,,,0.76,0.02,09/23/2020 02:09:25 pm,3.993,1.00,3.99,1.95,0.57,,
,09/23/2020 01:58:36 pm,5.993,1.00,5.99,1.82,0.91,,,09/23/2020 02:03:40 pm,6.204,1.00,6.20,1.82,0.89,,,09/23/2020 02:07:43 pm,3.572,1.00,3.57,1.28,0.64,,,09/23/2020 02:09:26 pm,4.102,0.00,,,,0.15,0.11
,09/23/2020 01:58:37 pm,6.099,0.00,,,,0.15,0.11,09/23/2020 02:03:40 pm,6.264,0.00,,,,0.27,0.06,09/23/2020 02:07:43 pm,3.593,0.00,,,,0.77,0.02,09/23/2020 02:09:26 pm,4.716,1.00,4.72,,0.72,,
,09/23/2020 01:58:37 pm,6.912,1.00,6.91,,0.92,,,09/23/2020 02:03:41 pm,7.140,1.00,7.14,,0.94,,,09/23/2020 02:07:44 pm,4.211,1.00,4.21,,0.64,,,09/23/2020 02:09:26 pm,4.840,0.00,,,,0.13,0.12
,09/23/2020 01:58:38 pm,7.019,0.00,,,,0.15,0.11,09/23/2020 02:03:41 pm,7.197,0.00,,,,0.28,0.06,09/23/2020 02:07:44 pm,4.231,0.00,,,,0.77,0.02,09/23/2020 02:09:27 pm,5.246,1.00,5.25,1.25,0.53,,
,09/23/2020 01:58:38 pm,7.818,1.00,7.82,1.83,0.91,,,09/23/2020 02:03:42 pm,8.025,1.00,8.02,1.82,0.88,,,09/23/2020 02:07:44 pm,4.854,1.00,4.85,1.28,0.64,,,09/23/2020 02:09:27 pm,5.367,0.00,,,,0.13,0.12
,09/23/2020 01:58:38 pm,7.925,0.00,,,,0.15,0.11,09/23/2020 02:03:42 pm,8.084,0.00,,,,0.27,0.06,09/23/2020 02:07:44 pm,4.875,0.00,,,,0.77,0.02,09/23/2020 02:09:28 pm,6.003,1.00,6.00,,0.76,,
,09/23/2020 01:58:39 pm,8.735,1.00,8.74,,0.92,,,09/23/2020 02:03:42 pm,8.961,1.00,8.96,,0.94,,,09/23/2020 02:07:45 pm,5.493,1.00,5.49,,0.64,,,09/23/2020 02:09:28 pm,6.139,0.00,,,,0.12,0.14
,09/23/2020 01:58:39 pm,8.843,0.00,,,,0.15,0.11,09/23/2020 02:03:43 pm,9.019,0.00,,,,0.28,0.06,09/23/2020 02:07:45 pm,5.513,0.00,,,,0.77,0.02,09/23/2020 02:09:28 pm,6.500,1.00,6.50,1.25,0.50,,
,09/23/2020 01:58:40 pm,9.643,1.00,9.64,1.82,0.91,,,09/23/2020 02:03:43 pm,9.846,1.00,9.85,1.82,0.89,,,09/23/2020 02:07:46 pm,6.136,1.00,6.14,1.28,0.64,,,09/23/2020 02:09:28 pm,6.630,0.00,,,,0.12,0.13
,09/23/2020 01:58:40 pm,9.751,0.00,,,,0.15,0.11,09/23/2020 02:03:43 pm,9.905,0.00,,,,0.27,0.06,09/23/2020 02:07:46 pm,6.157,0.00,,,,0.75,0.02,09/23/2020 02:09:29 pm,7.293,1.00,7.29,,0.79,,
,09/23/2020 01:58:41 pm,10.559,1.00,10.56,,0.92,,,09/23/2020 02:03:44 pm,10.783,1.00,10.78,,0.94,,,09/23/2020 02:07:46 pm,6.774,1.00,6.77,,0.64,,,09/23/2020 02:09:29 pm,7.428,0.00,,,,0.12,0.14
